time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-31 00:00:00+00:00,5.0,4.0,145,38
2024-11-01 00:00:00+00:00,1.0,1.0,109,37
2024-11-02 00:00:00+00:00,,,67,25
2024-11-03 00:00:00+00:00,5.0,4.0,64,24
2024-11-04 00:00:00+00:00,5.0,4.0,109,28
2024-11-05 00:00:00+00:00,6.0,3.0,111,28
2024-11-06 00:00:00+00:00,1.0,1.0,49,27
2024-11-07 00:00:00+00:00,3.0,3.0,95,32
2024-11-08 00:00:00+00:00,1.0,1.0,93,28
2024-11-09 00:00:00+00:00,5.0,5.0,89,21
2024-11-10 00:00:00+00:00,3.0,3.0,95,26
2024-11-11 00:00:00+00:00,2.0,2.0,86,29
2024-11-12 00:00:00+00:00,5.0,4.0,197,38
2024-11-13 00:00:00+00:00,2.0,1.0,105,33
