time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-08 00:00:00+00:00,13,10,130,42
2023-05-09 00:00:00+00:00,8,6,189,58
2023-05-10 00:00:00+00:00,12,10,293,58
2023-05-11 00:00:00+00:00,8,8,261,62
2023-05-12 00:00:00+00:00,7,5,222,44
2023-05-13 00:00:00+00:00,9,8,188,40
2023-05-14 00:00:00+00:00,6,6,173,21
2023-05-15 00:00:00+00:00,7,6,301,50
2023-05-16 00:00:00+00:00,6,6,293,27
2023-05-17 00:00:00+00:00,8,8,128,39
2023-05-18 00:00:00+00:00,8,6,158,43
2023-05-19 00:00:00+00:00,12,9,203,31
2023-05-20 00:00:00+00:00,13,10,256,34
2023-05-21 00:00:00+00:00,7,6,445,44
