time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-20 00:00:00+00:00,5.0,2.0,125,33
2024-08-21 00:00:00+00:00,,,176,31
2024-08-22 00:00:00+00:00,,,168,34
2024-08-23 00:00:00+00:00,1.0,1.0,87,26
2024-08-24 00:00:00+00:00,4.0,4.0,91,19
2024-08-25 00:00:00+00:00,,,189,20
2024-08-26 00:00:00+00:00,1.0,1.0,95,34
2024-08-27 00:00:00+00:00,3.0,2.0,172,37
2024-08-28 00:00:00+00:00,,,162,27
2024-08-29 00:00:00+00:00,,,221,34
2024-08-30 00:00:00+00:00,,,106,24
2024-08-31 00:00:00+00:00,2.0,2.0,111,11
2024-09-01 00:00:00+00:00,1.0,1.0,122,26
2024-09-02 00:00:00+00:00,3.0,2.0,224,32
