time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-26 00:00:00+00:00,16,10,34,17
2025-08-27 00:00:00+00:00,16,10,61,12
2025-08-28 00:00:00+00:00,12,5,34,15
2025-08-29 00:00:00+00:00,10,4,40,12
2025-08-30 00:00:00+00:00,14,6,48,6
2025-08-31 00:00:00+00:00,19,10,23,13
2025-09-01 00:00:00+00:00,14,8,37,24
2025-09-02 00:00:00+00:00,11,3,90,21
2025-09-03 00:00:00+00:00,9,6,28,20
2025-09-04 00:00:00+00:00,6,6,16,10
2025-09-05 00:00:00+00:00,8,8,24,10
2025-09-06 00:00:00+00:00,10,9,25,17
2025-09-07 00:00:00+00:00,12,12,252,15
2025-09-08 00:00:00+00:00,4,4,84,25
