time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-17 00:00:00+00:00,15,10,43,16
2025-10-18 00:00:00+00:00,17,10,45,12
2025-10-19 00:00:00+00:00,18,8,21,13
2025-10-20 00:00:00+00:00,12,7,33,22
2025-10-21 00:00:00+00:00,23,11,182,20
2025-10-22 00:00:00+00:00,18,13,56,23
2025-10-23 00:00:00+00:00,24,13,99,30
2025-10-24 00:00:00+00:00,14,9,93,16
2025-10-25 00:00:00+00:00,22,16,153,24
2025-10-26 00:00:00+00:00,19,14,24,13
2025-10-27 00:00:00+00:00,13,7,103,25
2025-10-28 00:00:00+00:00,21,14,81,22
2025-10-29 00:00:00+00:00,5,5,99,28
2025-10-30 00:00:00+00:00,5,4,70,26
