time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-21 00:00:00+00:00,14,6,128,21
2025-07-22 00:00:00+00:00,13,7,38,20
2025-07-23 00:00:00+00:00,18,8,26,17
2025-07-24 00:00:00+00:00,19,11,18,13
2025-07-25 00:00:00+00:00,17,8,310,19
2025-07-26 00:00:00+00:00,15,9,85,13
2025-07-27 00:00:00+00:00,18,10,20,8
2025-07-28 00:00:00+00:00,14,8,46,20
2025-07-29 00:00:00+00:00,15,7,87,21
2025-07-30 00:00:00+00:00,21,12,65,19
2025-07-31 00:00:00+00:00,16,8,40,23
2025-08-01 00:00:00+00:00,12,4,126,25
2025-08-02 00:00:00+00:00,17,10,37,15
2025-08-03 00:00:00+00:00,3,3,96,19
